fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-03-06,UA,UA,UA,385,UA,N37456,385,13303,MIA,"Miami, FL",11618,EWR,"Newark, NJ",602,552,-10,14,606,836,7,855,843,-12,0,,0,N,173,171,150,1,1085,,,,,,,,,
2018-09-05,UA,UA_CODESHARE,UA,3880,ZW,N408AW,3880,14783,SGF,"Springfield, MO",13930,ORD,"Chicago, IL",1510,1846,216,27,1913,2021,9,1650,2030,220,0,,0,N,100,104,68,1,438,0,0,220,0,0,,,,
2018-08-14,DL,DL,DL,2287,DL,N927DN,2287,13487,MSP,"Minneapolis, MN",10821,BWI,"Baltimore, MD",905,903,-2,24,927,1229,6,1240,1235,-5,0,,0,N,155,152,122,1,936,,,,,,,,,
2019-06-05,G4,G4,G4,568,G4,218NV,568,11775,FSD,"Sioux Falls, SD",10466,AZA,"Phoenix, AZ",1846,1843,-3,10,1853,1906,4,1927,1910,-17,0,,0,N,161,147,133,1,1072,,,,,,,,,
2018-05-17,WN,WN,WN,5768,WN,N561WN,5768,13495,MSY,"New Orleans, LA",12191,HOU,"Houston, TX",1825,1841,16,9,1850,1940,5,1940,1945,5,0,,0,N,75,64,50,1,302,,,,,,,,,
2018-08-22,DL,DL_CODESHARE,DL,5823,CP,N612CZ,5823,14831,SJC,"San Jose, CA",12889,LAS,"Las Vegas, NV",1200,1212,12,34,1246,1347,7,1330,1354,24,0,,0,N,90,102,61,1,386,0,0,12,0,12,,,,
2019-04-21,UA,UA_CODESHARE,UA,6158,YV,N86336,6158,12266,IAH,"Houston, TX",10693,BNA,"Nashville, TN",2000,2118,78,13,2131,2301,10,2156,2311,75,0,,0,N,116,113,90,1,657,75,0,0,0,0,,,,
2019-12-20,AA,AA,AA,1865,AA,N931NN,1865,11278,DCA,"Washington, DC",11057,CLT,"Charlotte, NC",522,517,-5,19,536,637,6,654,643,-11,0,,0,N,92,86,61,1,331,,,,,,,,,
2018-01-09,AS,AS,AS,813,AS,N533AS,813,10666,BLI,"Bellingham, WA",13830,OGG,"Kahului, HI",910,909,-1,7,916,1256,8,1353,1304,-49,0,,0,N,403,355,340,1,2681,,,,,,,,,
2019-12-24,B6,B6,B6,181,B6,N651JB,181,11697,FLL,"Fort Lauderdale, FL",10693,BNA,"Nashville, TN",1335,1334,-1,19,1353,1445,4,1458,1449,-9,0,,0,N,143,135,112,1,793,,,,,,,,,
